a,b,,,
- - - - Garments described in heading 6101 or 6102 and shirts:
6112110015,- - - - - Men's or boys',,Doz,kg
6112110035,- - - - - Women's or girls',,Doz,kg
,- - - - Trousers:,,,
6112110050,- - - - - Men's or boys',,Doz,kg
6112110060,- - - - - Women's or girls',,Doz,kg
611212,- - - Of synthetic fibers:,,,
- - - - Garments described in heading 6101 or 6102 and shirts:
6112120015,- - - - - Men's or boys',,Doz,kg
6112120035,- - - - - Women's or girls',,Doz,kg
,- - - - Trousers:,,,
6112120050,- - - - - Men's or boys',,Doz,kg
6112120060,- - - - - Women's or girls',,Doz,kg
611219,- - - Of other textile materials:,,,
6112191000,- - - - Of artificial fibers,,Doz,kg
6112192000,- - - - Other,,Doz,kg
611220,- - Ski suits:,,,
6112201000,- - - Of manmade fibers,,Doz,kg
6112202000,- - - Of other textile materials,,Doz,kg
,- - Men's or boys' swimwear:,,,
6112310000,- - - Of synthetic fibers,,Doz,kg
6112390000,"- - - Of other textile materials
- - Women's or girls' swimwear:",,Doz,kg
6112410000,- - - Of synthetic fibers,,Doz,kg
6112490000,- - - Of other textile materials,,Doz,kg
6113,"- Garments, made up of knitted or crocheted fabrics of heading 5903,",,,
,5906 or 5907:,,,
,"- - Having an outer surface impregnated, coated, covered, or",,,
,laminated with rubber or plastic material which completely obscures,,,
,the underlying fabric:,,,
6113000005,"- - - Coats and jackets:
- - - - Men's or boys'",,Doz,kg
6113000010,- - - - Women's or girls',,Doz,kg
6113000012,- - - Other,,Doz,kg
6113000095,"- - Other:
- - - Men's or boys'",,Doz,kg
6113000097,- - - Women's or girls',,Doz,kg
6114,"- Other garments, knitted or crocheted:",,,
6114200000,- - Of cotton,,Doz,kg
6114300000,- - Of manmade fibers,,Doz,kg
611490,- - Of other textile materials:,,,
6114900500,- - - Of wool or fine animal hair,,Doz,kg
6114908000,- - - Other,,Doz,kg
6115,"- Panty hose, tights, stockings, socks and other hosiery, including",,,
,"graduated compression hosiery (for example, stockings for varicose",,,
,"veins) and footwear without applied soles, knitted or crocheted:",,,
6115100000,"- - Graduated compression hosiery (for example, stockings for varicose veins)",,Dz prs,kg
,- - Other panty hose and tights:,,,
6115210000,"- - - Of synthetic fibers, measuring per single yarn less than 67 decitex
(216 oz/10,000 yds)",,Dz prs,kg
6115220000,"- - - Of synthetic fibers, measuring per single yarn 67 decitex (216
oz/10,000 yds) or more",,Dz prs,kg
6115290000,- - - Of other textile materials,,Dz prs,kg
6115300000,"- - Other women's full-length or knee-length hosiery, measuring per
single yarn less than 67 decitex (216 oz/10,000 yds)",,Dz prs,kg
6115940000,"- - Other:
- - - Of wool or fine animal hair",,Dz prs,kg
6115950000,- - - Of cotton,,Dz prs,kg
6115960000,- - - Of synthetic fibers,,Dz prs,kg
6115990002,- - - Of other textile materials,,Dz prs,kg
6116,"- Gloves, mittens and mitts, knitted or crocheted:",,,
6116100000,"- - Impregnated, coated, covered or laminated with plastics or rubber",,Dz prs,kg
6116910000,- - - Of wool or fine animal hair,,Dz prs,kg
6116920000,- - - Of cotton,,Dz prs,kg
6116930000,- - - Of synthetic fibers,,Dz prs,kg
6116990000,- - - Of other textile materials,,Dz prs,kg
6117,"- Other made-up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories:",,,
6117100000,"- - Shawls, scarves, mufflers, mantillas, veils and the like",,Doz,kg
611780,- - Other accessories:,,,
6117804000,"- - - Ties, bow ties and cravats",,Doz,kg
6117809000,- - - Other,,Doz,kg
6117900000,- - Parts,,Doz,kg
