61,,,,,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - - Women's or girls':,,,,6109.90.1055,,,,,- - - - - T-shirts,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.90.1068,,,,,- - - - - Tank tops and singlets,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.90.1075,,,,,- - - - - Thermal undershirts,,Doz.,kg,,,,,,,,,," Tank tops , other singlets",men's or boy's,Knitted or Crocheted,- - Of cotton:,,6109.10.0024
,,,,,,,,,6109.90.1090,,,,,- - - - - Other,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"- - - Of wool, with long sleeves:",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - - Underwear:,,,,6109.90.1510,,,,,- - - - - Men's or boys',,Doz.,kg,,,,,,,,,, Underwear,Women's or girls' ,Knitted or Crocheted,- - Of cotton,,6109.10.0037
,,,,,,,,,6109.90.1530,,,,,- - - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.90.1550,,,,,- - - - Other,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,, T-shirts,Women's or girls' ,Knitted or Crocheted,- - Of cotton,,6109.10.0042
,,,,,- - - Other:,,,,6109.90.2012,,,,,- - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.90.2025,,,,,- - - - Women's or girls',,Doz.,kg,,,,,,,,,,Tank tops,Women's or girls' ,Knitted or Crocheted,- - Of cotton,,6109.10.0062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110,,,,,"- Sweaters, pullovers, sweatshirts, waistcoats (vests), and similar
articles knitted or crocheted:",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - Of wool or fine animal hair:,,,,,,,,,,,,,,,,,,,,,,Singlets,Women's or girls' ,Knitted or Crocheted,- - Of cotton,,6109.10.0062
6110.11,,,,,- - - Of wool:,,,,6110.11.0010,,,,,- - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6110.11.0020,,,,,- - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,T-shirts,men's or boy's,Knitted or Crocheted,- - - Of manmade fibers:,,6109.90.1008
6110.12,,,,,- - - Of Kashmir (cashmere) goats:,,,,,,,,,,,,,,,,,,,,,,Tank tops and singlets,men's or boy's,Knitted or Crocheted,- - - Of manmade fibers:,,6109.90.1018
"Schedule B No.
and Headings",,,,,Commodity Description,,"Unit of
Quantity","Second
Quantity",,,,,,,,,,,,,,,,,,,Thermal undershirts,men's or boy's,Knitted or Crocheted,- - - Of manmade fibers:,,6109.90.1047
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110.12.0010,,,,,- - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
6110.12.0020,,,,,- - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,,,,,T-shirts,Women's or girls' ,Knitted or Crocheted,- - - Of manmade fibers:,,6109.90.1055
6110.19,,,,,- - - Other:,,,,,,,,,,,,,,,,,,,,,,Tank tops and singlets,Women's or girls' ,Knitted or Crocheted,- - - Of manmade fibers:,,6109.90.1068
6110.19.0010,,,,,- - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,,,,,Thermal undershirts,Women's or girls' ,Knitted or Crocheted,- - - Of manmade fibers:,,6109.90.1075
6110.19.0020,,,,,- - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
6110.20,,,,,- - Of cotton:,,,,,,,,,,,,,,,,,,,,,,Underwear(with long sleeves),men's or boy's,Knitted or Crocheted, - - of wool,,6109.90.1510
,,,,,- - - Containing 36 percent or more by weight of flax fibers:,,,,,,,,,,,,,,,,,,,,,,Underwear(with long sleeves),Women's or girls' ,Knitted or Crocheted, --- of wool,,6109.90.1530
,,,,,- - - - Sweaters:,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.1010,,,,,- - - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.1020,,,,,- - - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - - Other:,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.1023,,,,,- - - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.1027,,,,,- - - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - Other:,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.2005,,,,,- - - - Boys' or girls' garments exported as parts of playsuits,,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - - Other:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - - - Sweaters:,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.2012,,,,,- - - - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.2022,,,,,- - - - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - - - Sweatshirts:,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.2040,,,,,- - - - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.2045,,,,,- - - - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - - - Other:,,,,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.2060,,,,,- - - - - - Men's or boys',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
6110.20.2070,,,,,- - - - - - Women's or girls',,Doz.,kg,,,,,,,,,,,,,,,,,,,,,,,,
6110.30,,,,,- - Of manmade fibers:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - Other:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- - - - Containing 23 percent or more by weight of wool or fine animal
hair:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
